uuid,year,month,volume,number,page_count,column_count,editor_name
1980-1-2,1980,2,1,2,37,2,Robert S. McLean
1982-3-1,1982,2,3,1,50,2,Robert S. McLean
1982-3-2,1982,6,3,2,63,2,Robert S. McLean
1982-3-3,1982,10,3,3,68,2,Robert S. McLean
1982-3-4,1982,11,3,4,68,2,Robert S. McLean
1983-4-1,1983,3,4,1,48,2,Robert S. McLean
1983-4-2,1983,6,4,2,60,2,Robert S. McLean
1983-4-3,1983,10,4,3,51,2,Robert S. McLean
1983-4-4,1983,12,4,4,52,2,Robert S. McLean
1984-5-1,1984,3,5,1,48,2,Robert S. McLean
1984-5-2,1984,12,5,2,55,2,Irvin Rubincam
1985-6-1,1985,6,6,1,37,2,Irvin Rubincam
1986-7-1,1986,3,7,1,41,2,Irvin Rubincam
1986-7-2,1986,9,7,2,49,2,Irvin Rubincam
1986-7-3,1986,12,7,3,50,2,Irvin Rubincam
1987-8-1,1987,3,8,1,34,2,Irvin Rubincam
1987-8-2,1987,9,8,2,36,3,Irvin Rubincam
1988-9-1,1988,4,9,1,61,3,Irvin Rubincam
1988-9-2,1988,6,9,2,46,3,Irvin Rubincam
1988-9-3,1988,9,9,3,39,3,Irvin Rubincam
1988-9-4,1988,12,9,4,39,3,Irvin Rubincam
1989-10-1,1989,3,10,1,46,3,Irvin Rubincam
1989-10-2,1989,7,10,2,51,3,Irvin Rubincam
1989-10-3,1989,9,10,3,46,3,Charles Matthews
1990-10-4,1990,1,10,4,39,3,Charles Matthews
1990-11-1,1990,4,11,1,43,3,Charles Matthews
1990-11-2,1990,7,11,2,51,3,Charles Matthews
1990-11-3,1990,9,11,3,55,3,Alan Wyand
1991-11-4,1991,1,11,4,43,3,Alan Wyand
1991-12-1,1991,4,12,1,43,3,Alan Wyand
1991-12-2,1991,7,12,2,43,3,Alan Wyand
1991-12-3,1991,9,12,3,39,3,Alan Wyand
1992-12-4,1992,1,12,4,43,3,Alan Wyand
1992-13-1,1992,4,13,1,43,3,Alan Wyand
1992-13-2,1992,7,13,2,43,3,Alan Wyand
1993-13-4,1993,1,13,4,43,3,Alan Wyand
1993-14-1,1993,4,14,1,43,3,Alan Wyand
1993-14-2,1993,10,14,2,44,4,Vivian Beer
1994-14-3,1994,1,14,3,43,4,Vivian Beer
1994-14-4,1994,4,14,4,44,2,Vivian Beer
1994-15-1,1994,6,15,1,44,2,Vivian Beer
1994-15-2,1994,9,15,2,43,2,Vivian Beer
1994-15-3,1995,1,15,3,44,2,Vivian Beer
1994-15-4,1995,4,15,4,44,2,Vivian Beer
